Video_ID,Title,beautiful,funny,ingenious,ok,fascinating,total_count,persuasive,inspiring,longwinded,informative,jaw-dropping,obnoxious,confusing,courageous,unconvincing,Totalviews,Retention_time_in_days,Video_Length_(sec),Nb_Words_in_Transcript_(without_tags),Words_per_second,Keywords,Is_a_Talk?,url
1995,What ants teach us about the brain  cancer and the Internet,36,8,81,75,210,962,43,76,20,328,17,6,20,8,34,1385708,1258,849,2278,2.6831566548900003,Internet;algorithm;animals;ants;biomimicry;cancer;computers;evolution;insects;nature;science,Yes,https://www.ted.com/talks/deborah_gordon_what_ants_teach_us_about_the_brain_cancer_and_the_internet
1645,Ethical riddles in HIV research,7,3,0,16,31,382,82,34,11,114,7,4,3,47,23,480632,1746,670,1604,2.39402985075,AIDS;TEDx;global issues;health care;medicine;pharmaceuticals,Yes,https://www.ted.com/talks/boghuma_kabisen_titanji_ethical_riddles_in_hiv_research
1910,His and hers … healthcare,14,3,10,20,60,610,110,106,9,187,18,6,11,22,34,1099316,1369,882,1883,2.1349206349200003,depression;health;heart health;women,Yes,https://www.ted.com/talks/paula_johnson_his_and_hers_healthcare
2712,Asking for help is a strength  not a weakness,327,194,15,34,70,1968,103,719,1,96,20,1,0,388,0,1279567,215,715,1898,2.65454545455,children;communication;community;compassion;empathy;humanity;personal growth;social change;society,Yes,https://www.ted.com/talks/michele_l_sullivan_asking_for_help_is_a_strength_not_a_weakness
2539,Why I keep speaking up  even when people mock my accent,331,331,51,54,145,2546,108,755,16,153,18,3,6,565,10,1390259,472,648,1650,2.5462962963,Internet;TED Fellows;animation;art;bullying;comedy;communication;design;fear;humor;identity;language;media;society;speech;vocals,Yes,https://www.ted.com/talks/safwat_saleem_why_i_keep_speaking_up_even_when_people_mock_my_accent
939,Learning from Sherman the shark,78,149,40,78,74,947,99,198,22,102,16,14,9,47,21,480162,2615,855,2343,2.7403508771900005,animals;art;comedy;entertainment;humor;marine biology;oceans;science,Yes,https://www.ted.com/talks/jim_toomey_learning_from_sherman_the_shark
1465,ET is (probably) out there -- get ready,23,104,25,105,215,1327,113,252,85,216,42,38,11,22,76,836387,1968,1120,3692,3.29642857143,NASA;Planets;TEDx;astronomy;cosmos;data;exploration;extraterrestrial life;future;humanity;life;math;philosophy;prediction;science;space;technology;universe,Yes,https://www.ted.com/talks/seth_shostak_et_is_probably_out_there_get_ready
2629,The urgency of intersectionality,58,4,16,17,52,833,99,155,4,168,74,22,8,127,29,881589,342,1129,2036,1.8033658104499999,activism;community;gender;humanity;identity;inequality;race;social change;society;violence;women,Yes,https://www.ted.com/talks/kimberle_crenshaw_the_urgency_of_intersectionality
402,The Long Now,57,3,35,22,69,499,11,84,88,45,17,11,19,16,22,243695,3261,1403,3858,2.7498218104100003,TED Brain Trust;architecture;art;design;future;technology,Yes,https://www.ted.com/talks/stewart_brand_on_the_long_now
723,My solar-powered adventure,60,10,83,53,185,1542,146,605,43,64,53,23,10,186,21,781760,2851,1066,2737,2.56754221388,adventure;aircraft;engineering;green;solar energy;technology,Yes,https://www.ted.com/talks/bertrand_piccard_s_solar_powered_adventure
2821,A simple new blood test that can catch cancer early,13,4,23,5,57,311,18,53,0,99,19,0,0,20,0,1079338,89,730,1832,2.5095890411000004,DNA;TED Fellows;biology;cancer;disease;epidemiology;health;innovation;medical research;medicine;science,Yes,https://www.ted.com/talks/jimmy_lin_a_simple_new_blood_test_that_can_catch_cancer_early
2459,A glimpse of the future through an augmented reality headset,54,23,135,56,291,1170,26,185,9,175,109,18,11,21,57,1586334,583,654,1803,2.75688073394,Senses;augmented reality;brain;computers;creativity;cyborg;demo;design;engineering;entrepreneur;innovation;interface design;invention;neuroscience;potential;prediction;product design;technology;visualizations,Yes,https://www.ted.com/talks/meron_gribetz_a_glimpse_of_the_future_through_an_augmented_reality_headset
1130,3 things I learned while my plane crashed,1955,330,77,313,698,11713,824,5860,31,213,357,25,28,936,66,6671842,2375,302,729,2.41390728477,business;storytelling;transportation,Yes,https://www.ted.com/talks/ric_elias
2097,Sanitation is a basic human right,27,38,39,10,52,748,152,109,1,268,22,8,1,20,1,743992,1119,501,1256,2.5069860279400005,TED Fellows;global issues;health;infrastructure;public health;sanitation,Yes,https://www.ted.com/talks/francis_de_los_reyes_sanitation_is_a_basic_human_right
2688,Why civilians suffer more once a war is over,11,3,7,24,27,364,55,76,7,115,3,6,4,24,2,879900,214,861,2076,2.41114982578,TEDx;community;disaster relief;ebola;global issues;health;health care;medicine;public health;security;society;violence;war,Yes,https://www.ted.com/talks/margaret_bourdeaux_why_civilians_suffer_more_once_a_war_is_over
838,Political change with pen and paper,8,141,75,52,53,1281,275,218,4,381,13,5,2,28,26,540152,2739,367,1067,2.9073569482300003,business;culture;democracy;politics;social change,Yes,https://www.ted.com/talks/omar_ahmad_political_change_with_pen_and_paper
203,We're worried about local warming ... in your lap,18,1453,115,143,40,2308,44,34,34,120,39,94,16,84,74,937889,3580,375,739,1.97066666667,comedy;humor,Yes,https://www.ted.com/talks/yossi_vardi_fights_local_warming
1468,What we didn't know about penis anatomy,33,277,147,191,532,2740,81,120,54,979,63,17,21,189,36,3908216,1965,680,1831,2.6926470588200004,Human body;animals;biodiversity;biology;biomechanics;evolution;health;humor;nature;physiology;science;sex,Yes,https://www.ted.com/talks/diane_kelly_what_we_didn_t_know_about_penis_anatomy
2002,The smelly mystery of the human pheromone   ,14,11,20,93,262,1102,85,41,32,496,9,10,6,17,6,1193408,1256,893,2255,2.5251959686500003,TEDx;animals;biology;smell,Yes,https://www.ted.com/talks/tristram_wyatt_the_smelly_mystery_of_the_human_pheromone
622,One seed at a time  protecting the future of food,48,17,73,79,189,1389,235,227,33,342,45,11,6,54,30,684768,2975,1028,2598,2.52723735409,Anthropocene;agriculture;biodiversity;climate change;disaster relief;ecology;environment;food;garden;plants,Yes,https://www.ted.com/talks/cary_fowler_one_seed_at_a_time_protecting_the_future_of_food
2362,How data from a crisis text line is saving lives,189,41,72,24,89,1232,40,413,0,155,66,15,0,123,5,786553,720,579,1364,2.35578583765,activism;big problems;communication;data;pain;policy;society;technology;youth,Yes,https://www.ted.com/talks/nancy_lublin_the_heartbreaking_text_that_inspired_a_crisis_help_line
274,Institutions vs. collaboration,20,22,136,47,374,1933,355,250,31,514,89,5,27,43,20,1104872,3391,1246,3491,2.80176565008,business;cognitive science;collaboration;culture;social change;society;technology,Yes,https://www.ted.com/talks/clay_shirky_on_institutions_versus_collaboration
2195,For these women  reading is a daring act,160,25,9,58,61,1060,25,330,13,201,5,4,4,159,6,823700,977,305,737,2.41639344262,Islam;Middle East;TED Fellows;education;feminism;photography;women,Yes,https://www.ted.com/talks/laura_boushnak_for_these_women_reading_is_a_daring_act
396,Fashion and creativity,78,326,39,141,74,1224,6,125,104,44,9,97,95,26,60,906965,3261,856,2726,3.18457943925,business;creativity;design;entertainment;fashion;humor;media,Yes,https://www.ted.com/talks/isaac_mizrahi_on_fashion_and_creativity
512,A new ecosystem for electric cars,45,25,452,52,360,3822,870,868,36,403,315,14,23,277,82,1142901,3115,1086,3403,3.1335174954,alternative energy;business;cars;energy;global issues;green;infrastructure;technology,Yes,https://www.ted.com/talks/shai_agassi_on_electric_cars
1043,Using our practical wisdom,70,9,86,99,188,2659,585,808,96,386,35,18,9,175,95,954295,2487,1387,3458,2.49315068493,culture;global issues;happiness;philosophy;self,Yes,https://www.ted.com/talks/barry_schwartz_using_our_practical_wisdom
2542,What will be the next big scientific breakthrough?,32,61,50,28,270,1296,95,317,9,310,47,4,11,44,18,1481876,467,647,1603,2.47758887172,aging;curiosity;exploration;science,Yes,https://www.ted.com/talks/eric_haseltine_what_will_be_the_next_big_scientific_breakthrough
1913,Why massive open online courses (still) matter,39,76,167,46,287,1755,224,486,12,344,16,9,3,26,20,1084466,1364,919,2380,2.58977149075,Internet;education;teaching;technology,Yes,https://www.ted.com/talks/anant_agarwal_why_massively_open_online_courses_still_matter
1998,Why good leaders make you feel safe,1164,51,660,196,1330,16918,1771,8738,47,1865,157,24,21,813,81,7012384,1252,719,1969,2.73852573018,business;leadership;military;work,Yes,https://www.ted.com/talks/simon_sinek_why_good_leaders_make_you_feel_safe
728,The real danger lurking in the water,56,5,7,38,72,561,67,111,14,114,19,5,6,40,7,399132,2845,1038,2853,2.74855491329,animals;biodiversity;ecology;environment;india;water,Yes,https://www.ted.com/talks/romulus_whitaker_the_real_danger_lurking_in_the_water
2630,The playful wonderland behind great inventions,167,156,176,26,452,2071,99,422,3,473,60,0,5,27,5,1150234,340,445,1044,2.34606741573,adventure;animation;art;beauty;collaboration;computers;design;discovery;exploration;history;innovation;invention;technology;visualizations,Yes,https://www.ted.com/talks/steven_johnson_how_play_leads_to_great_inventions
2100,Why I take the piano on the road ... and in the air,578,18,39,45,154,1230,24,245,1,21,54,8,0,41,2,906865,1115,570,526,0.922807017544,live music;music;piano,No,https://www.ted.com/talks/daria_van_den_bercken_why_i_take_the_piano_on_the_road_and_in_the_air
1733,Grit: The power of passion and perseverance,496,139,394,619,902,12563,1434,5016,48,2530,153,88,73,489,182,12357519,1627,372,861,2.31451612903,business;education;psychology;success,Yes,https://www.ted.com/talks/angela_lee_duckworth_grit_the_power_of_passion_and_perseverance
2455,You have no idea where camels really come from,88,627,96,57,521,2434,63,203,31,513,160,21,9,18,27,2283406,578,747,1728,2.31325301205,ancient world;animals;biology;curiosity;ecology;environment;evolution;history;life;nature;paleontology;science,Yes,https://www.ted.com/talks/latif_nasser_you_have_no_idea_where_camels_really_come_from
2615,Help for kids the education system ignores,200,28,13,19,104,1519,177,569,10,94,28,0,3,265,9,1175462,339,713,1392,1.9523141655,children;communication;compassion;education;empathy;identity;innovation;motivation;potential;society;teaching,Yes,https://www.ted.com/talks/victor_rios_help_for_kids_the_education_system_ignores
1826,How reliable is your memory?,36,32,99,146,1225,4623,556,283,58,1389,295,46,25,387,46,3388906,1490,1056,2402,2.27462121212,Bioethics;brain;cognitive science;crime;medical research;memory;mental health;mind;morality;neuroscience;psychology;science;sight,Yes,https://www.ted.com/talks/elizabeth_loftus_the_fiction_of_memory
404,The design of the universe,325,13,129,126,664,2634,65,179,98,487,364,19,112,14,39,1641118,3259,1140,3778,3.31403508772,astronomy;culture;dark matter;design;physics;science;space;technology;telescopes;time,Yes,https://www.ted.com/talks/george_smoot_on_the_design_of_the_universe
1134,A next-generation digital book,143,19,356,132,321,1869,45,215,11,259,182,60,6,8,112,1511212,2369,274,594,2.16788321168,demo;design;entertainment;software;technology,Yes,https://www.ted.com/talks/mike_matas
843,Computing a theory of all knowledge,91,14,596,73,781,3330,101,403,68,334,476,74,129,94,96,1547601,2735,1198,3291,2.7470784641100003,String theory;biology;complexity;computers;math;physics;science;simplicity,Yes,https://www.ted.com/talks/stephen_wolfram_computing_a_theory_of_everything
1382,A TED speaker's worst nightmare,168,1426,212,170,82,2840,9,65,34,12,82,221,187,69,103,2958754,2053,229,93,0.406113537118,entertainment;performance;performance art,No,https://www.ted.com/talks/a_ted_speaker_s_worst_nightmare
628,Time-lapse proof of extreme ice loss,84,1,43,30,252,1942,458,133,41,357,366,18,10,66,83,918559,2967,1162,2971,2.55679862306,climate change;global issues;photography;science;technology,Yes,https://www.ted.com/talks/james_balog_time_lapse_proof_of_extreme_ice_loss
1566,A story about knots and surgeons,231,41,4,28,117,1371,12,351,8,18,107,1,9,442,2,929131,1857,741,1757,2.37112010796,New York;crime;medicine;storytelling;violence,Yes,https://www.ted.com/talks/ed_gavagan_a_story_about_knots_and_surgeons
2825,Meet Spot  the robot dog that can run  hop and open doors,9,39,72,11,89,422,8,52,0,60,51,0,0,31,0,1623288,83,873,2104,2.41008018328,demo;future;robots;technology,Yes,https://www.ted.com/talks/marc_raibert_meet_spot_the_robot_dog_that_can_run_hop_and_open_doors
941,What physics taught me about marketing,41,240,184,300,159,1926,139,141,29,358,18,49,26,16,226,1380122,2613,458,1155,2.5218340611400003,business;marketing;math;physics,Yes,https://www.ted.com/talks/dan_cobley_what_physics_taught_me_about_marketing
2005,How the worst moments in our lives make us who we are,2044,175,84,115,298,7707,185,2703,85,221,111,38,35,1557,56,4849787,1250,1227,2752,2.24286878566,Gender equality;LGBT;culture;depression;identity;pain,Yes,https://www.ted.com/talks/andrew_solomon_how_the_worst_moments_in_our_lives_make_us_who_we_are
2201,How our microbes make us who we are,43,18,169,41,774,2506,157,139,8,864,245,8,17,12,11,1578105,972,1044,3238,3.10153256705,TED Books;biology;health,Yes,https://www.ted.com/talks/rob_knight_how_our_microbes_make_us_who_we_are
1304,Cooking as alchemy,19,68,349,36,275,1325,30,129,10,89,171,38,26,34,51,859147,2138,574,1665,2.90069686411,agriculture;business;creativity;culture;food,Yes,https://www.ted.com/talks/homaro_cantu_ben_roche_cooking_as_alchemy
1721,The invisible man,118,31,95,35,152,642,13,68,8,9,54,4,10,40,5,1310835,1621,466,895,1.92060085837,art;china;global issues;identity;photography,Yes,https://www.ted.com/talks/liu_bolin_the_invisible_man
2546,How to grow a forest in your backyard,314,32,320,48,453,2918,128,771,13,690,72,7,9,52,9,1338333,465,551,1225,2.22323049002,Natural resources;TED Fellows;botany;cities;design;ecology;engineering;entrepreneur;environment;future;garden;global development;green;microbes;microbiology;nature;plants;science;sustainability;trees;urban planning,Yes,https://www.ted.com/talks/shubhendu_sharma_how_to_grow_a_forest_in_your_backyard
1213,DNA clues to our inner neanderthal,24,2,56,57,412,1287,105,65,35,406,66,9,14,15,21,1402219,2245,1021,2579,2.52595494613,DNA;biology;evolution;science,Yes,https://www.ted.com/talks/svante_paeaebo_dna_clues_to_our_inner_neanderthal
1743,Hack a banana  make a keyboard!,74,297,517,24,348,2172,53,512,4,76,202,10,10,29,16,1323582,1620,795,2471,3.1081761006299997,creativity;invention;technology;toy,Yes,https://www.ted.com/talks/jay_silver_hack_a_banana_make_a_keyboard
1917,Meet a young entrepreneur  cartoonist  designer  activist ...,179,34,69,42,157,1336,34,552,9,41,74,29,7,80,29,1468750,1360,436,1039,2.3830275229400004,animation;creativity;entrepreneur,Yes,https://www.ted.com/talks/maya_penn_meet_a_young_entrepreneur_cartoonist_designer_activist
1091,"Beware online ""filter bubbles""",69,32,247,238,1003,10279,2531,1103,33,3493,626,26,21,782,75,4071649,2366,544,1400,2.57352941176,culture;global issues;journalism;politics;technology,Yes,https://www.ted.com/talks/eli_pariser_beware_online_filter_bubbles
2633,We need nuclear power to solve climate change,19,10,18,12,48,715,153,88,14,235,11,15,12,36,44,1077245,328,826,1940,2.34866828087,alternative energy;choice;climate change;electricity;engineering;global issues;innovation;nuclear energy;pollution;potential;resources;science;society,Yes,https://www.ted.com/talks/joe_lassiter_we_need_nuclear_power_to_solve_climate_change
1573,What we're learning from 5 000 brains,5,3,48,53,106,625,15,38,88,131,11,17,63,2,45,697144,1854,803,2517,3.13449564134,behavioral economics;brain;cognitive science;community;decision-making;disease;economics;gaming;medical imaging;medical research;mental health;mind;molecular biology;neuroscience;pharmaceuticals;programming;psychology;science;sociology;software,Yes,https://www.ted.com/talks/read_montague_what_we_re_learning_from_5_000_brains
848,How great leaders inspire action,1683,398,3494,1362,7584,57870,9007,21937,391,6778,2701,294,113,1186,942,34911541,2728,1084,3006,2.7730627306299995,TEDx;business;entrepreneur;leadership;success,Yes,https://www.ted.com/talks/simon_sinek_how_great_leaders_inspire_action
103,How to truly listen,1540,123,314,114,1292,8357,218,2065,108,484,1588,31,49,397,34,4195740,3852,1929,3147,1.63141524106,creativity;entertainment;live music;music;performance,No,https://www.ted.com/talks/evelyn_glennie_shows_how_to_listen
71,A life of purpose,773,26,117,246,462,8358,1547,2564,306,307,209,371,111,478,841,3124924,4115,1262,3428,2.7163232963499997,Christianity;God;culture;happiness;leadership;motivation;philanthropy;religion,Yes,https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
1308,The quest to understand consciousness,53,10,95,120,614,2439,182,203,149,747,68,22,69,18,89,1708254,2134,1122,2918,2.60071301248,Senses;brain;cognitive science;consciousness;decision-making;identity;medical imaging;medical research;memory;mental health;mind;neuroscience;science;self,Yes,https://www.ted.com/talks/antonio_damasio_the_quest_to_understand_consciousness
2463,The beauty of human skin in every color,1036,17,120,86,205,3213,99,838,15,272,65,9,6,437,8,1993692,573,687,1196,1.7409024745299997,Brazil;Slavery;art;beauty;community;creativity;culture;design;global issues;humanity;identity;photography;race;social change;society;visualizations,Yes,https://www.ted.com/talks/angelica_dass_the_beauty_of_human_skin_in_every_color
105,The electricity metaphor for the web's future,18,130,66,66,93,1068,68,166,83,267,16,16,24,14,41,767343,3849,1031,2936,2.8477206595499998,TED Brain Trust;United States;business;electricity;entrepreneur;history;innovation;invention;technology;web,Yes,https://www.ted.com/talks/jeff_bezos_on_the_next_web_innovation
1649,Kids need structure,80,150,18,68,103,1929,219,550,39,155,27,184,28,73,235,1492025,1733,1066,3086,2.8949343339599998,TEDx;children;culture;education;parenting;teaching;youth,Yes,https://www.ted.com/talks/colin_powell_kids_need_structure
2553,How the Panama Papers journalists broke the biggest leak in history,18,13,51,18,134,1026,20,167,0,235,78,2,4,284,2,1004580,459,788,1998,2.53553299492,Internet;big problems;business;collaboration;communication;data;global issues;government;journalism;society;technology;writing,Yes,https://www.ted.com/talks/gerard_ryle_how_the_panama_papers_journalists_broke_the_biggest_leak_in_history
2557,A new way to study the brain's invisible secrets,30,16,165,38,219,1057,30,126,20,303,66,11,9,9,15,1268746,458,795,2465,3.10062893082,biology;biomechanics;biotech;brain;chemistry;humanity;illness;innovation;life;materials;medical research;nanoscale;neuroscience;potential;science;technology,Yes,https://www.ted.com/talks/ed_boyden_baby_diapers_inspired_this_new_way_to_study_the_brain
1652,A universal translator for surgeons,8,1,30,27,23,323,30,25,35,81,1,15,4,15,28,498080,1732,701,1642,2.34236804565,Surgery;TEDx;health care;medicine;technology,Yes,https://www.ted.com/talks/steven_schwaitzberg_a_universal_translator_for_surgeons
2828,The stories behind The New Yorker's iconic covers,14,15,6,4,15,123,12,16,1,34,3,1,0,1,1,898753,80,509,1055,2.0726915520599998,TEDNYC;art;creativity;culture;design;humor,Yes,https://www.ted.com/talks/francoise_mouly_the_stories_behind_the_new_yorker_s_iconic_covers
634,3 warp-speed architecture tales,431,270,629,32,540,3440,80,817,12,144,365,18,7,82,13,2143139,2959,1094,3010,2.75137111517,architecture;cities;creativity;design;environment;green,Yes,https://www.ted.com/talks/bjarke_ingels_3_warp_speed_architecture_tales
188,Tembererana,240,6,26,30,62,604,0,134,0,3,71,0,0,29,3,405122,3566,640,872,1.3625,culture;entertainment;guitar;live music;music;performance;singer;technology,No,https://www.ted.com/talks/raul_midon_plays_all_the_answers_and_tembererana
518,9 life lessons from rock climbing,24,28,27,70,43,613,44,188,0,111,15,4,5,38,16,745876,3111,288,749,2.60069444444,adventure;entertainment;environment;nature,Yes,https://www.ted.com/talks/matthew_childs_9_rules_of_rock_climbing
2369,The moral bias behind your search results,20,13,51,49,151,1278,188,144,13,465,41,20,10,93,20,1404062,712,558,1484,2.65949820789,Google;Internet;TEDx;algorithm;communication;computers;decision-making;society;software;technology;web,Yes,https://www.ted.com/talks/andreas_ekstrom_the_moral_bias_behind_your_search_results
1747,Embrace the shake,317,52,281,33,386,2955,101,1261,3,44,192,1,0,280,4,2168402,1615,601,1576,2.62229617304,art;disability;personal growth,Yes,https://www.ted.com/talks/phil_hansen_embrace_the_shake
209,Rebuilding a neighborhood with beauty  dignity  hope,280,22,63,18,122,1724,108,671,46,42,153,19,10,159,11,615993,3563,2128,5457,2.5643796992500003,MacArthur grant;activism;children;cities;culture;live music;philanthropy,No,https://www.ted.com/talks/bill_strickland_makes_change_with_a_slide_show
1471,Design  explained.,23,505,72,268,33,1516,19,19,89,53,2,182,82,5,164,1132064,1962,383,879,2.29503916449,architecture;comedy;design;humor,Yes,https://www.ted.com/talks/john_hodgman_design_explained
2470,Two reasons companies fail -- and how to avoid them,14,18,46,94,77,1187,143,292,16,392,4,7,11,65,8,1760970,570,638,1325,2.07680250784,business;creativity;curiosity;goal-setting;innovation;leadership;motivation;potential;success;work,Yes,https://www.ted.com/talks/knut_haanaes_two_reasons_companies_fail_and_how_to_avoid_them
2199,How we found the worst place to park in New York City -- using big data,8,45,70,76,85,857,117,94,18,296,8,3,13,13,11,1002084,969,708,2535,3.58050847458,New York;TEDx;cities;data;infrastructure;statistics;technology,Yes,https://www.ted.com/talks/ben_wellington_how_we_found_the_worst_place_to_park_in_new_york_city_using_big_data
1138,Grow your own clothes,67,32,366,62,330,1559,36,253,6,230,82,10,5,30,50,1224049,2363,400,1001,2.5025,TED Fellows;bacteria;biology;biotech;creativity;design;fashion;materials;technology,Yes,https://www.ted.com/talks/suzanne_lee_grow_your_own_clothes
949,The child-driven education,151,239,627,83,1069,5555,491,1612,16,385,670,8,12,173,19,2544687,2602,1033,2347,2.2720232333,children;education;global development;global issues;technology;web,Yes,https://www.ted.com/talks/sugata_mitra_the_child_driven_education
738,All things are Moleeds,24,782,177,78,86,1556,11,24,55,41,40,91,80,20,47,1058246,2837,1083,2749,2.53831948292,astronomy;comedy;humor;map;science,Yes,https://www.ted.com/talks/charles_fleischer_insists_all_things_are_moleeds
412,Demo: The Orb,42,2,102,90,83,493,6,35,5,51,24,0,18,2,33,458097,3244,238,622,2.6134453781499998,animation;demo;design;entertainment;invention;technology,Yes,https://www.ted.com/talks/nick_sears_demos_the_orb
2009,A glimpse of life on the road,156,9,8,182,200,1378,46,222,9,269,10,33,19,123,92,1462625,1243,300,693,2.31,TED Fellows;art;global issues;journalism;photography;travel;youth,Yes,https://www.ted.com/talks/kitra_cahana_stories_of_the_homeless_and_hidden
2372,How I'm working for change inside my church,117,7,21,50,50,1255,102,237,42,141,22,60,43,229,134,1457341,710,756,1895,2.5066137566099997,God;TED Fellows;activism;community;faith;feminism;identity;inequality;personal growth;religion;society;women,Yes,https://www.ted.com/talks/chelsea_shields_how_i_m_working_for_change_inside_my_church
